state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
Alabama,23,82,48,67.7,46.9
Alaska,11,19,16.3,44.7,Nan
Arizona,37,62,48.1,70.5,43
Arkansas,41,85,35,69.1,51.6
California,100,233,13.7,42.3,40.1
Colorado,64,72,36.4,67.3,47.2
Connecticut,83,89,9.8,34.6,24
Delaware,4,4,13.4,44,42.2
District of Columbia,0,1,Nan,Nan,Nan
Florida,79,135,42.8,64.4,39.8
Georgia,68,165,56.7,72.1,36.7
Hawaii,4,9,6.7,6.7,Nan
Idaho,26,30,29.4,54.2,58.3
Illinois,104,155,24.6,46.3,31
Indiana,64,112,46.2,65.1,49.4
Iowa,27,51,21.7,43.2,36.3
Kansas,51,76,33.2,64.3,43.1
Kentucky,53,103,26.5,54.3,46.5
Louisiana,25,71,13.2,36.6,38.3
Maine,20,27,18.4,40.2,35.9
Maryland,11,37,17.5,44.7,30.2
Massachusetts,51,59,11.8,24.7,28.9
Michigan,90,126,17.5,39,41.9
Minnesota,44,70,26.7,53.9,35.5
Mississippi,24,56,50.5,69.4,51
Missouri,132,168,41.7,66.7,45.1
Montana,21,26,14.7,34.7,51.9
Nebraska,22,37,21.4,53.1,47.1
Nevada,23,29,44.7,66.6,36.8
New Hampshire,14,14,14.6,31,23.7
New Jersey,50,72,14.8,36.7,29.1
New Mexico,18,45,20.4,50.8,39.4
New York,71,128,29,36.4,27
North Carolina,38,123,58.6,77.6,41.3
North Dakota,10,16,21.9,53.1,44.3
Ohio,88,143,35.7,56.7,37.9
Oklahoma,45,107,37.4,64.2,47.7
Oregon,25,43,20.6,57.9,37.8
Pennsylvania,41,85,17,42.9,38.9
Rhode Island,28,28,10.8,27.8,25.8
South Carolina,23,59,44.4,65.2,45.3
South Dakota,11,19,25.5,50.6,32.1
Tennessee,45,102,48.7,73.2,47
Texas,135,380,44,70.4,43.4
Utah,45,58,31.6,52,36.2
Vermont,12,12,28,43.9,28.3
Virginia,78,138,23.3,56.6,35.6
Washington,44,57,24.9,60.1,42.8
West Virginia,27,47,15.7,40.7,49.6
Wisconsin,59,67,19.2,46.4,33.6
Wyoming,17,28,25,41.2,36
