Breed,datadog score,Popularity,LONGEVITY,Lifetime_Cost,Average_Height,Average_Weight,obey,Intelligence
Border Collie,3.64,39,79%,"20,143",20.0,40.0,95%,5
Border Terrier,3.61,61,98%,"22,638",13.5,13.5,70%,3
Brittany,3.54,30,89%,"22,589",19.0,35.0,85%,4
Cairn Terrier,3.53,48,95%,"21,992",9.5,14.0,70%,3
Welsh Springer Spaniel,3.34,81,77%,"20,224",17.5,40.0,70%,3
Papillon,3.26,33,90%,"21,001",9.5,7.5,95%,5
Australian Cattle Dog,3.25,49,55%,"20,395",18.5,40.0,95%,5
Siberian Husky,3.22,16,83%,"22,049",21.5,50.0,50%,2
Affenpinscher,3.2,84,47%,"18,333",10.5,10.0,70%,3
Dachshund,3.19,9,85%,"20,113",8.5,24.0,50%,2
Chihuahua,3.15,14,100%,"26,250",7.5,3.5,30%,1
Australian Terrier,3.11,77,40%,"17,892",10.0,12.0,70%,3
Whippet,3.11,46,87%,"20,976",20.0,28.5,50%,2
English Springer Spaniel,3.09,29,82%,"21,946",20.0,50.0,85%,4
West Highland White Terrier,3.08,32,86%,"20,490",11.0,14.0,50%,2
Bedlington Terrier,3.07,83,93%,"22,107",15.5,20.5,50%,2
Bichon Frise,3.03,34,68%,"19,735",10.5,14.0,50%,2
German Shorthaired Pointer,3.03,15,49%,"25,842",23.5,65.0,85%,4
Pointer,3.03,74,75%,"24,445",22.5,55.0,50%,2
Tibetan Spaniel,3.02,73,99%,"25,549",10.0,12.0,50%,2
Labrador Retriever,2.97,1,63%,"21,299",22.5,67.5,95%,5
Maltese,2.93,23,69%,"19,084",9.0,5.0,30%,1
Pomeranian,2.93,17,23%,"15,792",12.0,5.0,85%,4
Australian Shepherd,2.91,24,71%,"21,458",20.5,50.0,50%,2
Yorkshire Terrier,2.85,5,84%,"20,701",8.0,5.0,70%,3
Irish Setter,2.84,56,53%,"20,323",26.0,65.0,70%,3
Pharaoh Hound,2.81,86,57%,"21,047",23.0,50.0,70%,3
Golden Retriever,2.8,4,63%,"21,447",22.5,65.0,95%,5
Samoyed,2.8,55,76%,"25,352",21.5,57.5,70%,3
Chesapeake Bay Retriever,2.78,40,22%,"16,697",23.5,65.0,70%,3
Tibetan Terrier,2.75,64,74%,"20,336",15.5,25.0,30%,1
Gordon Setter,2.73,69,41%,"19,605",25.0,62.5,70%,3
English Setter,2.72,65,52%,"20,312",25.0,62.5,70%,3
Pug,2.72,26,39%,"18,527",10.5,18.0,30%,1
Briard,2.71,79,43%,"19,673",25.0,75.0,70%,3
Boston Terrier,2.61,22,38%,"17,741",14.5,20.0,50%,2
Doberman Pinscher,2.59,13,32%,"18,397",27.0,80.0,95%,5
Cavalier King Charles Spaniel,2.57,21,46%,"18,639",12.5,17.5,50%,2
Dalmatian,2.57,57,45%,"19,886",21.0,57.5,70%,3
Italian Greyhound,2.49,53,28%,"16,463",13.5,8.0,30%,1
Staffordshire Bull Terrier,2.48,58,66%,"21,650",15.0,26.0,50%,2
Clumber Spaniel,2.44,82,25%,"18,084",19.5,50.0,70%,3
Dandie Dinmont Terrier,2.42,87,67%,"21,633",21.0,9.5,30%,1
Saluki,2.41,75,61%,"24,866",25.5,52.5,50%,2
Giant Schnauzer,2.38,70,25%,"26,686",26.5,72.5,70%,3
Greyhound,2.29,85,20%,"15,819",28.5,65.0,50%,2
Scottish Terrier,2.27,45,37%,"17,525",11.0,20.0,30%,1
Rottweiler,2.24,10,17%,"18,886",24.5,100.0,95%,5
Kerry Blue Terrier,2.13,78,21%,"17,240",19.0,37.5,70%,3
Newfoundland,2.07,37,18%,"19,351",27.0,125.0,70%,3
Akita,1.95,41,30%,"20,994",27.0,100.0,50%,2
Rhodesian Ridgeback,1.91,38,16%,"16,530",25.5,77.5,50%,2
French Bulldog,1.9,18,11%,"17,266",11.5,22.5,30%,1
Bernese Mountain Dog,1.85,31,7%,"16,099",25.0,97.5,85%,4
Bull Terrier,1.85,44,31%,"18,490",21.5,60.0,30%,1
Boxer,1.83,7,10%,"15,746",23.0,67.5,50%,2
Irish Wolfhound,1.66,60,5%,"18,435",31.5,120.0,50%,2
Bullmastiff,1.64,35,8%,"13,936",26.0,115.0,30%,1
Great Dane,1.53,19,6%,"14,662",32.0,140.0,50%,2
Saint Bernard,1.42,43,9%,"20,022",26.5,150.0,30%,1
