Rank,City ,Median Household Income,"Vet Care, Pet Insurance & Boarding_1",Day Care_1,"Vet Care, Pet Insurance & Boarding",Day Care
1,Winston-Salem,57392.0,1533.0,2784.0,0.026699999999999998,0.048499999999999995
2,Greensboro,57908.0,1546.0,2592.0,0.026699999999999998,0.044800000000000006
3,Bakersfield,58217.0,1536.0,2688.0,0.0264,0.0462
4,El Paso,51002.0,1323.0,2496.0,0.0259,0.0489
5,Memphis,55840.0,1418.0,2688.0,0.0254,0.0481
6,New York,84409.0,2211.0,3648.0,0.0262,0.0432
7,New Orleans,56837.0,1382.0,2880.0,0.024300000000000002,0.0507
8,North Las Vegas,63677.0,1514.0,2880.0,0.023799999999999998,0.0452
9,Tucson,60667.0,1439.0,2784.0,0.023700000000000002,0.045899999999999996
10,Las Vegas,63677.0,1508.0,2880.0,0.023700000000000002,0.0452
11,Fresno,63656.0,1558.0,2688.0,0.0245,0.042199999999999994
12,St. Petersburg,62951.0,1494.0,2784.0,0.023700000000000002,0.044199999999999996
13,Henderson,63677.0,1501.0,2880.0,0.0236,0.0452
14,Tulsa,59696.0,1404.0,2688.0,0.0235,0.045
15,Miami,63814.0,1492.0,3168.0,0.023399999999999997,0.0496
16,Albuquerque,60070.0,1381.0,2784.0,0.023,0.0463
17,Durham,71601.0,1681.0,3072.0,0.0235,0.0429
18,Cleveland,62315.0,1430.0,2688.0,0.0229,0.0431
19,Tampa,62951.0,1425.0,2784.0,0.0226,0.044199999999999996
20,Corpus Christi,59853.0,1368.0,2592.0,0.0229,0.0433
21,Wichita,61131.0,1435.0,2400.0,0.0235,0.0393
22,Lexington,62612.0,1413.0,2688.0,0.0226,0.0429
23,Pittsburgh,66609.0,1508.0,2784.0,0.0226,0.0418
24,Spokane,65283.0,1443.0,2880.0,0.022099999999999998,0.0441
25,Scottsdale,75731.0,1693.0,3264.0,0.022400000000000003,0.0431
26,Fort Wayne,62155.0,1345.0,2847.0,0.0216,0.0458
27,Orlando,64936.0,1462.0,2688.0,0.0225,0.0414
28,Los Angeles,82503.0,1791.0,3456.0,0.0217,0.04190000000000001
29,Charlotte,71041.0,1602.0,2688.0,0.0225,0.0378
30,Phoenix,75731.0,1620.0,3264.0,0.021400000000000002,0.0431
31,Mesa,75731.0,1619.0,3264.0,0.021400000000000002,0.0431
32,Louisville,64029.0,1362.0,2784.0,0.0213,0.0435
33,Chicago,78166.0,1649.0,3456.0,0.021099999999999997,0.044199999999999996
34,Norfolk,72686.0,1557.0,2784.0,0.021400000000000002,0.0383
35,Oklahoma City,61815.0,1292.0,2688.0,0.0209,0.0435
36,Long Beach,82503.0,1728.0,3456.0,0.0209,0.04190000000000001
37,Richmond,74151.0,1561.0,2880.0,0.021099999999999997,0.0388
38,Stockton,80681.0,1652.0,3648.0,0.020499999999999997,0.0452
39,Virginia Beach,72686.0,1529.0,2784.0,0.021,0.0383
40,Riverside,77018.0,1608.0,3072.0,0.0209,0.039900000000000005
41,St. Louis,70189.0,1453.0,2688.0,0.0207,0.0383
42,Nashville,72725.0,1474.0,2976.0,0.0203,0.0409
43,Portland,83943.0,1733.0,3072.0,0.0206,0.0366
44,Philadelphia,80007.0,1610.0,3264.0,0.020099999999999996,0.0408
45,Colorado Springs,79014.0,1631.0,2784.0,0.0206,0.0352
46,Houston,70893.0,1418.0,2976.0,0.02,0.042
47,Indianapolis,70224.0,1405.0,2784.0,0.02,0.039599999999999996
48,Atlanta,77589.0,1531.0,3264.0,0.0197,0.0421
49,Jacksonville,68394.0,1341.0,2880.0,0.0196,0.0421
50,Madison,76731.0,1544.0,2688.0,0.020099999999999996,0.035
51,San Antonio,66775.0,1327.0,2592.0,0.0199,0.0388
52,Columbus,71839.0,1418.0,2784.0,0.0197,0.0388
53,Reno,76182.0,1466.0,3168.0,0.0192,0.0416
54,Sacramento,84421.0,1634.0,2880.0,0.0194,0.0341
55,Fort Worth,75975.0,1430.0,3168.0,0.018799999999999997,0.0417
56,Garland,75975.0,1412.0,3168.0,0.018600000000000002,0.0417
57,Cincinnati,70818.0,1341.0,2688.0,0.0189,0.038
58,Aurora,90716.0,1744.0,3072.0,0.0192,0.0339
59,Raleigh,85303.0,1621.0,2880.0,0.019,0.0338
60,San Diego,91003.0,1723.0,3072.0,0.0189,0.0338
61,Dallas,75975.0,1388.0,3168.0,0.0183,0.0417
62,Irving,75975.0,1386.0,3168.0,0.0182,0.0417
63,Minneapolis,87433.0,1599.0,3360.0,0.0183,0.0384
64,Denver,90716.0,1679.0,3072.0,0.018500000000000003,0.0339
65,Arlington,75975.0,1366.0,3168.0,0.018000000000000002,0.0417
66,Chula Vista,91003.0,1674.0,3072.0,0.0184,0.0338
67,Baltimore,86302.0,1586.0,2976.0,0.0184,0.0345
68,Kansas City,73900.0,1329.0,2688.0,0.018000000000000002,0.0364
69,St. Paul,87433.0,1531.0,3360.0,0.0175,0.0384
70,San Francisco,116005.0,2053.0,3744.0,0.0177,0.0323
71,Boston,100750.0,1759.0,3744.0,0.0175,0.037200000000000004
72,Boise,86302.0,1526.0,2688.0,0.0177,0.0311
73,Seattle,101721.0,1757.0,3744.0,0.0173,0.0368
74,Austin,86530.0,1481.0,3072.0,0.0171,0.0355
75,Omaha,73720.0,1261.0,2784.0,0.0171,0.0378
76,Huntsville,76963.0,1302.0,2688.0,0.0169,0.0349
77,,110355.0,1840.0,3264.0,0.0167,0.0296
78,San Jose,139892.0,1820.0,3648.0,0.013000000000000001,0.026099999999999998
